"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6946","Remove item from cart","webkit","Tue Jan 06 08:27:14 UTC 2026","passed","Tue Jan 06 08:27:21 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","18080","Complete purchase flow - Add to cart, checkout, and complete order","webkit","Tue Jan 06 08:26:51 UTC 2026","passed","Tue Jan 06 08:27:09 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12890","Mobile Android Purchase with Video and Screenshots","firefox","Tue Jan 06 08:26:24 UTC 2026","passed","Tue Jan 06 08:26:37 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","14858","Complete purchase flow - Add to cart, checkout, and complete order","chromium","Tue Jan 06 08:24:39 UTC 2026","passed","Tue Jan 06 08:24:54 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4453","Login with invalid credentials should show error","chromium","Tue Jan 06 08:24:55 UTC 2026","passed","Tue Jan 06 08:25:00 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13375","Mobile Iphone Purchase with Video Recording and Screenshots","webkit","Tue Jan 06 08:27:48 UTC 2026","passed","Tue Jan 06 08:28:01 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","6626","Logout successfully","firefox","Tue Jan 06 08:26:18 UTC 2026","passed","Tue Jan 06 08:26:24 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4513","Login with invalid credentials should show error","firefox","Tue Jan 06 08:26:01 UTC 2026","passed","Tue Jan 06 08:26:05 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12717","Mobile Iphone Purchase with Video Recording and Screenshots","chromium","Tue Jan 06 08:25:31 UTC 2026","passed","Tue Jan 06 08:25:44 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","15799","Complete purchase flow - Add to cart, checkout, and complete order","firefox","Tue Jan 06 08:25:45 UTC 2026","passed","Tue Jan 06 08:26:00 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4684","Login with invalid credentials should show error","webkit","Tue Jan 06 08:27:10 UTC 2026","passed","Tue Jan 06 08:27:14 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5876","Sort products by price low to high","webkit","Tue Jan 06 08:27:21 UTC 2026","passed","Tue Jan 06 08:27:27 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6480","Remove item from cart","chromium","Tue Jan 06 08:25:00 UTC 2026","passed","Tue Jan 06 08:25:06 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6638","Remove item from cart","firefox","Tue Jan 06 08:26:05 UTC 2026","passed","Tue Jan 06 08:26:12 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12721","Mobile Android Purchase with Video and Screenshots","chromium","Tue Jan 06 08:25:18 UTC 2026","passed","Tue Jan 06 08:25:31 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","5484","Sort products by price low to high","chromium","Tue Jan 06 08:25:06 UTC 2026","passed","Tue Jan 06 08:25:12 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6836","Logout successfully","webkit","Tue Jan 06 08:27:27 UTC 2026","passed","Tue Jan 06 08:27:34 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5597","Sort products by price low to high","firefox","Tue Jan 06 08:26:12 UTC 2026","passed","Tue Jan 06 08:26:18 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13376","Mobile Android Purchase with Video and Screenshots","webkit","Tue Jan 06 08:27:34 UTC 2026","passed","Tue Jan 06 08:27:48 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","12968","Mobile Android Purchase with Video and Screenshots","Samsung S25","Tue Jan 06 08:28:16 UTC 2026","passed","Tue Jan 06 08:28:29 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13381","Mobile Iphone Purchase with Video Recording and Screenshots","iPhone 16","Tue Jan 06 08:28:02 UTC 2026","passed","Tue Jan 06 08:28:15 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","12864","Mobile Iphone Purchase with Video Recording and Screenshots","firefox","Tue Jan 06 08:26:37 UTC 2026","passed","Tue Jan 06 08:26:50 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","6551","Logout successfully","chromium","Tue Jan 06 08:25:12 UTC 2026","passed","Tue Jan 06 08:25:18 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
