"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15792","Complete purchase flow - Add to cart, checkout, and complete order","firefox","Tue Jan 06 08:05:32 UTC 2026","passed","Tue Jan 06 08:05:48 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6631","Remove item from cart","firefox","Tue Jan 06 08:05:53 UTC 2026","passed","Tue Jan 06 08:05:59 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12725","Mobile Android Purchase with Video and Screenshots","chromium","Tue Jan 06 08:05:06 UTC 2026","passed","Tue Jan 06 08:05:19 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","5575","Sort products by price low to high","firefox","Tue Jan 06 08:05:59 UTC 2026","passed","Tue Jan 06 08:06:05 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6508","Logout successfully","chromium","Tue Jan 06 08:04:59 UTC 2026","passed","Tue Jan 06 08:05:06 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12918","Mobile Android Purchase with Video and Screenshots","Samsung S25","Tue Jan 06 08:08:03 UTC 2026","passed","Tue Jan 06 08:08:16 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13423","Mobile Android Purchase with Video and Screenshots","webkit","Tue Jan 06 08:07:22 UTC 2026","passed","Tue Jan 06 08:07:35 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13407","Mobile Iphone Purchase with Video Recording and Screenshots","iPhone 16","Tue Jan 06 08:07:49 UTC 2026","passed","Tue Jan 06 08:08:02 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","6554","Remove item from cart","chromium","Tue Jan 06 08:04:47 UTC 2026","passed","Tue Jan 06 08:04:54 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5866","Sort products by price low to high","webkit","Tue Jan 06 08:07:09 UTC 2026","passed","Tue Jan 06 08:07:15 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4503","Login with invalid credentials should show error","firefox","Tue Jan 06 08:05:48 UTC 2026","passed","Tue Jan 06 08:05:53 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4657","Login with invalid credentials should show error","webkit","Tue Jan 06 08:06:57 UTC 2026","passed","Tue Jan 06 08:07:02 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6827","Logout successfully","webkit","Tue Jan 06 08:07:15 UTC 2026","passed","Tue Jan 06 08:07:22 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","18048","Complete purchase flow - Add to cart, checkout, and complete order","webkit","Tue Jan 06 08:06:39 UTC 2026","passed","Tue Jan 06 08:06:57 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5575","Sort products by price low to high","chromium","Tue Jan 06 08:04:54 UTC 2026","passed","Tue Jan 06 08:04:59 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12873","Mobile Android Purchase with Video and Screenshots","firefox","Tue Jan 06 08:06:12 UTC 2026","passed","Tue Jan 06 08:06:25 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","4423","Login with invalid credentials should show error","chromium","Tue Jan 06 08:04:43 UTC 2026","passed","Tue Jan 06 08:04:47 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","14823","Complete purchase flow - Add to cart, checkout, and complete order","chromium","Tue Jan 06 08:04:27 UTC 2026","passed","Tue Jan 06 08:04:42 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12718","Mobile Iphone Purchase with Video Recording and Screenshots","chromium","Tue Jan 06 08:05:19 UTC 2026","passed","Tue Jan 06 08:05:31 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","6620","Logout successfully","firefox","Tue Jan 06 08:06:05 UTC 2026","passed","Tue Jan 06 08:06:12 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6936","Remove item from cart","webkit","Tue Jan 06 08:07:02 UTC 2026","passed","Tue Jan 06 08:07:09 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13409","Mobile Iphone Purchase with Video Recording and Screenshots","webkit","Tue Jan 06 08:07:35 UTC 2026","passed","Tue Jan 06 08:07:48 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","12849","Mobile Iphone Purchase with Video Recording and Screenshots","firefox","Tue Jan 06 08:06:25 UTC 2026","passed","Tue Jan 06 08:06:37 UTC 2026","","sauceMobileIphone.spec.ts","",""
