"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6716","Remove item from cart","firefox","Tue Jan 06 07:39:57 UTC 2026","passed","Tue Jan 06 07:40:04 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13479","Mobile Android Purchase with Video and Screenshots","webkit","Tue Jan 06 07:41:26 UTC 2026","passed","Tue Jan 06 07:41:40 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","5874","Sort products by price low to high","webkit","Tue Jan 06 07:41:13 UTC 2026","passed","Tue Jan 06 07:41:19 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5518","Sort products by price low to high","chromium","Tue Jan 06 07:38:58 UTC 2026","passed","Tue Jan 06 07:39:03 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13468","Mobile Iphone Purchase with Video Recording and Screenshots","iPhone 16","Tue Jan 06 07:41:54 UTC 2026","passed","Tue Jan 06 07:42:07 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","12783","Mobile Android Purchase with Video and Screenshots","chromium","Tue Jan 06 07:39:10 UTC 2026","passed","Tue Jan 06 07:39:22 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13006","Mobile Android Purchase with Video and Screenshots","firefox","Tue Jan 06 07:40:16 UTC 2026","passed","Tue Jan 06 07:40:29 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","4517","Login with invalid credentials should show error","chromium","Tue Jan 06 07:38:46 UTC 2026","passed","Tue Jan 06 07:38:51 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4562","Login with invalid credentials should show error","firefox","Tue Jan 06 07:39:52 UTC 2026","passed","Tue Jan 06 07:39:57 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","18037","Complete purchase flow - Add to cart, checkout, and complete order","webkit","Tue Jan 06 07:40:43 UTC 2026","passed","Tue Jan 06 07:41:01 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13501","Mobile Iphone Purchase with Video Recording and Screenshots","webkit","Tue Jan 06 07:41:40 UTC 2026","passed","Tue Jan 06 07:41:53 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","14945","Complete purchase flow - Add to cart, checkout, and complete order","chromium","Tue Jan 06 07:38:31 UTC 2026","passed","Tue Jan 06 07:38:46 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6726","Logout successfully","firefox","Tue Jan 06 07:40:09 UTC 2026","passed","Tue Jan 06 07:40:16 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6963","Remove item from cart","webkit","Tue Jan 06 07:41:06 UTC 2026","passed","Tue Jan 06 07:41:13 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6587","Logout successfully","chromium","Tue Jan 06 07:39:03 UTC 2026","passed","Tue Jan 06 07:39:10 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6856","Logout successfully","webkit","Tue Jan 06 07:41:19 UTC 2026","passed","Tue Jan 06 07:41:26 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12770","Mobile Iphone Purchase with Video Recording and Screenshots","chromium","Tue Jan 06 07:39:22 UTC 2026","passed","Tue Jan 06 07:39:35 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","12959","Mobile Android Purchase with Video and Screenshots","Samsung S25","Tue Jan 06 07:42:08 UTC 2026","passed","Tue Jan 06 07:42:21 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","12919","Mobile Iphone Purchase with Video Recording and Screenshots","firefox","Tue Jan 06 07:40:29 UTC 2026","passed","Tue Jan 06 07:40:42 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","4700","Login with invalid credentials should show error","webkit","Tue Jan 06 07:41:02 UTC 2026","passed","Tue Jan 06 07:41:06 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6517","Remove item from cart","chromium","Tue Jan 06 07:38:51 UTC 2026","passed","Tue Jan 06 07:38:58 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5632","Sort products by price low to high","firefox","Tue Jan 06 07:40:04 UTC 2026","passed","Tue Jan 06 07:40:09 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","15913","Complete purchase flow - Add to cart, checkout, and complete order","firefox","Tue Jan 06 07:39:36 UTC 2026","passed","Tue Jan 06 07:39:52 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
