"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6625","Logout successfully","chromium","Tue Jan 06 07:51:52 UTC 2026","passed","Tue Jan 06 07:51:58 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4637","Login with invalid credentials should show error","firefox","Tue Jan 06 07:52:41 UTC 2026","passed","Tue Jan 06 07:52:46 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13000","Mobile Iphone Purchase with Video Recording and Screenshots","firefox","Tue Jan 06 07:53:18 UTC 2026","passed","Tue Jan 06 07:53:31 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","13027","Mobile Android Purchase with Video and Screenshots","firefox","Tue Jan 06 07:53:05 UTC 2026","passed","Tue Jan 06 07:53:18 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13479","Mobile Iphone Purchase with Video Recording and Screenshots","iPhone 16","Tue Jan 06 07:54:44 UTC 2026","passed","Tue Jan 06 07:54:58 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","5570","Sort products by price low to high","chromium","Tue Jan 06 07:51:46 UTC 2026","passed","Tue Jan 06 07:51:52 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6779","Logout successfully","firefox","Tue Jan 06 07:52:58 UTC 2026","passed","Tue Jan 06 07:53:05 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12852","Mobile Android Purchase with Video and Screenshots","chromium","Tue Jan 06 07:51:58 UTC 2026","passed","Tue Jan 06 07:52:11 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","4796","Login with invalid credentials should show error","webkit","Tue Jan 06 07:53:52 UTC 2026","passed","Tue Jan 06 07:53:57 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6929","Logout successfully","webkit","Tue Jan 06 07:54:10 UTC 2026","passed","Tue Jan 06 07:54:17 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","19144","Complete purchase flow - Add to cart, checkout, and complete order","webkit","Tue Jan 06 07:53:32 UTC 2026","passed","Tue Jan 06 07:53:51 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","15902","Complete purchase flow - Add to cart, checkout, and complete order","firefox","Tue Jan 06 07:52:25 UTC 2026","passed","Tue Jan 06 07:52:41 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5707","Sort products by price low to high","firefox","Tue Jan 06 07:52:53 UTC 2026","passed","Tue Jan 06 07:52:58 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","7025","Remove item from cart","webkit","Tue Jan 06 07:53:57 UTC 2026","passed","Tue Jan 06 07:54:04 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","6619","Remove item from cart","chromium","Tue Jan 06 07:51:40 UTC 2026","passed","Tue Jan 06 07:51:46 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13070","Mobile Android Purchase with Video and Screenshots","Samsung S25","Tue Jan 06 07:54:59 UTC 2026","passed","Tue Jan 06 07:55:12 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","13474","Mobile Android Purchase with Video and Screenshots","webkit","Tue Jan 06 07:54:17 UTC 2026","passed","Tue Jan 06 07:54:30 UTC 2026","","sauceMobileAndroid.spec.ts","",""
"","6753","Remove item from cart","firefox","Tue Jan 06 07:52:46 UTC 2026","passed","Tue Jan 06 07:52:53 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","13468","Mobile Iphone Purchase with Video Recording and Screenshots","webkit","Tue Jan 06 07:54:30 UTC 2026","passed","Tue Jan 06 07:54:44 UTC 2026","","sauceMobileIphone.spec.ts","",""
"","15099","Complete purchase flow - Add to cart, checkout, and complete order","chromium","Tue Jan 06 07:51:19 UTC 2026","passed","Tue Jan 06 07:51:34 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","5950","Sort products by price low to high","webkit","Tue Jan 06 07:54:04 UTC 2026","passed","Tue Jan 06 07:54:10 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","4592","Login with invalid credentials should show error","chromium","Tue Jan 06 07:51:35 UTC 2026","passed","Tue Jan 06 07:51:40 UTC 2026","SauceDemo E2E Tests","login.spec.ts","",""
"","12854","Mobile Iphone Purchase with Video Recording and Screenshots","chromium","Tue Jan 06 07:52:11 UTC 2026","passed","Tue Jan 06 07:52:24 UTC 2026","","sauceMobileIphone.spec.ts","",""
